LineId,StackNum,IRef,PlcMsg,Shade,Size,ErrMsg
1," 1",615229,"(65 chars message placeholder......................)",555,"L",""
1," 2",42,"(65 chars message placeholder......................)",100,"M",""
1," 3",100,"(65 chars message placeholder......................)",200,"L","*OK"

1, 1,615229,"TEST ITEM WITH PADDING                                    ",555,L,""
1, 2,615229,"TEST ITEM WITH PADDING                                    ",555,L,""
1, 3,615229," 3                               FL9036MOD1P4                    ",555,L,""
1, 1,615229, 1                               FL9036MOD1P4                    ,555,L,
1, 2,615229, 2                               FL9036MOD1P4                    ,555,L,
1, 3,615229, 3                               FL9036MOD1P4                    ,555,L,
1, 8,615229, 8                               FL9036MOD1P4                    ,555,3X6,
1, 8,615229, 8                               FL9036MOD1P4                    ,555,3X6,
1, 16,615229, 16                               FL9036MOD1P4                   ,555,3X6,
1, 17,615229, 17                               FL9036MOD1P4                   ,555,3X6,
1, 18,615229, 18                               FL9036MOD1P4                   ,555,3X6,
1, 19,615229, 19                               FL9036MOD1P4                   ,555,3X6,
1, 20,615229, 20                               FL9036MOD1P4                   ,555,3X6,
1, 21,615229, 21                               FL9036MOD1P4                   ,555,3X6,
1, 22,615229, 22                               FL9036MOD1P4                   ,555,3X6,
1, 23,615229, 23                               FL9036MOD1P4                   ,555,3X6,
1, 24,615229, 24                               FL9036MOD1P4                   ,555,3X6,
1, 25,615229, 25                               FL9036MOD1P4                   ,555,3X6,
1, 26,615229, 26                               FL9036MOD1P4                   ,555,3X6,
1, 27,615229, 27                               FL9036MOD1P4                   ,555,3X6,
1, 28,615229, 28                               FL9036MOD1P4                   ,555,3X6,
1, 29,615229, 29                               FL9036MOD1P4                   ,555,3X6,
1, 30,615229, 30                               FL9036MOD1P4                   ,555,3X6,
1, 31,615229, 31                               FL9036MOD1P4                   ,555,3X6,
1, 32,615229, 32                               FL9036MOD1P4                   ,555,3X6,
1, 33,615229, 33                               FL9036MOD1P4                   ,555,3X6,
1, 34,0, 34                               013536MOD1P4                   ,0,,
1, 35,615229, 35                               FL9036MOD1P4                   ,555,3X6,
1, 36,615229, 36                               FL9036MOD1P4                   ,555,3X6,
1, 37,615229, 37                               FL9036MOD1P4                   ,555,3X6,
